
"Je suis très satisfait du remboursement de mon sinistre.",1
"I am very happy with the quick refund of my claim.",1
"L'expert a été très professionnel et rapide.",1
"The expert was very professional and efficient.",1
"C'est inadmissible, le montant de l'indemnité est trop bas !",0
"This is unacceptable, the payout amount is too low!",0
"Je déteste votre service client, personne ne répond.",0
"I hate your customer service, no one answers the phone.",0
"Ma franchise est beaucoup plus élevée que prévu.",0
"My deductible is much higher than expected in the contract.",0
"Merci Salama Insurance pour votre aide précieuse.",1
"Thank you Salama Insurance for your great support.",1
"Dossier traité en 48h, bravo pour l'efficacité.",1
"Claim processed in 2 days, great efficiency.",1
"Une honte, j'attends mon chèque depuis trois mois.",0
"A disgrace, I have been waiting for my check for months.",0
"L'accueil à l'agence était chaleureux et clair.",1
"The welcome at the agency was warm and helpful.",1
"Very bad experience, I will cancel my insurance.",0
"Très mauvaise expérience, je vais résilier mon assurance.",0
"The mobile app is very intuitive and easy to use.",1
"L'application mobile est très intuitive et facile à utiliser.",1
"I feel cheated by the small print in the policy.",0
"Je me sens arnaqué par les petites lignes du contrat.",0
"Service rapide et personnel très aimable.",1
"Fast service and very friendly staff.",1
"L'indemnisation est ridicule par rapport aux dégâts.",0
"The compensation is ridiculous compared to the damage.",0
"Paiement reçu ce matin, merci pour la réactivité.",1
"Payment received this morning, thanks for the reactivity.",1
"Impossible de joindre un conseiller, c'est frustrant.",0
"Impossible to reach an advisor, it is frustrating.",0
"Explications très claires sur les garanties du contrat.",1
"Very clear explanations about the policy coverage.",1
"L'expert n'est jamais venu au rendez-vous.",0
"The expert never showed up for the appointment.",0
"Je recommande Salama pour la gestion des sinistres.",1
"I recommend Salama for claim management.",1
"Délais de traitement trop longs, je suis déçu.",0
"Processing times are too long, I am disappointed.",0
"Prise en charge remorquage très efficace.",1
"Towing assistance was very efficient.",1
"L'agent m'a menti sur les conditions de remboursement.",0
"The agent lied to me about the refund conditions.",0
"Procédures simples et digitales, j'adore.",1
"Simple and digital procedures, I love it.",1
"L'expertise a été bâclée en 5 minutes.",0
"The expertise was rushed in 5 minutes.",0
"Remboursement intégral, rien à dire, parfait.",1
"Full refund, nothing to say, perfect.",1
"Je suis en colère car mon dossier est bloqué.",0
"I am angry because my file is stuck.",0
"Equipe professionnelle et à l'écoute", "POSITIF"
"Excellent service, merci", "POSITIF"
"Très satisfait de la prise en charge", "POSITIF"
"Professional team that listens to the customer.",1
"Plus jamais cette assurance, fuyez !",0
"Never again this insurance, run away!",0
"Je suis satisfaite de votre service.",1
"I am satisfied with your service.",1
"je suis decue",0
"I am disappointed",0
